Unnamed: 0,calendar_date,hours_sunlight
482,2017-04-27,11.4
483,2017-04-28,11.4
484,2017-04-29,10.9
485,2017-04-30,12.0
486,2017-05-01,3.8
487,2017-05-02,12.6
488,2017-05-03,8.2
489,2017-05-04,12.6
490,2017-05-05,7.5
491,2017-05-06,0.0
492,2017-05-07,11.7
493,2017-05-08,12.2
494,2017-05-09,0.0
495,2017-05-10,0.0
496,2017-05-11,3.3
497,2017-05-12,5.6
498,2017-05-13,0.0
499,2017-05-14,7.7
500,2017-05-15,10.9
501,2017-05-16,9.1
502,2017-05-17,8.2
503,2017-05-18,10.4
504,2017-05-19,13.3
505,2017-05-20,13.2
506,2017-05-21,12.0
507,2017-05-22,11.6
508,2017-05-23,9.4
509,2017-05-24,0.0
510,2017-05-25,2.4
511,2017-05-26,2.8
512,2017-05-27,1.8
513,2017-05-28,8.8
514,2017-05-29,12.1
515,2017-05-30,11.8
516,2017-05-31,6.0
